region,iata,name,city,latitude,longitude
red,IXA,Agartala Airport,Agartala,23.8926,91.244513
red,AJL,Aizawl Airport,Aizawl,23.838986,92.624815
red,RDP,Kazi Nazrul Islam Airport,Andal,23.621389,87.243333
red,IXB,Bagdogra Airport,Bagdogra,26.68488,88.324816
red,BBI,Biju Patnaik International Airport,Bhubaneswar,20.252853,85.817385
red,MAA,Chennai Airport,Chennai,12.982267,80.163782
red,CJB,Coimbatore International Airport,Coimbatore,11.031026,77.038931
red,DBR,Darbhanga Airport,Darbhanga,26.1933,85.9114
red,DIB,Dibrugarh Airport,Dibrugarh,27.483222,95.016474
red,DMU,Dimapur Airport,Dimapur,25.879816,93.772866
red,GAY,Gaya Airport,Gaya,24.746667,84.945833
red,GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,26.105185,91.588427
red,HYD,Rajiv Gandhi International Airport,Hyderabad,17.233702,78.430427
red,IMF,Imphal Municipal Airport,Imphal,24.76457,93.897063
red,JRG,Veer Surendra Sai Airport,Jharsuguda,21.912951,84.050091
red,JRH,Rowriah Airport,Jorhat,26.734483,94.184902
red,CDP,Kadapa Airport,Kadapa,14.514583,78.76478
red,CCU,Netaji Subhas Chandra Bose Airport,Kolkata,22.64531,88.439306
red,KJB,Kurnool Airport,Kurnool,15.714722,78.178056
red,IXI,Lilabari Airport,Lilabari,27.288274,94.092061
red,LKO,Chaudhary Charan Singh International Airport,Lucknow,26.764257,80.884186
red,IXM,Madurai Airport,Madurai,9.838571,78.089494
red,LDA,Malda Airport,Malda,25.033333,88.15
red,PYG,Pakyong Airport,Pakyong,27.2278,88.586944
red,IXT,Pasighat Airport,Pasighat,28.068259,95.335528
red,IXZ,Port Blair Airport,Port Blair,11.650083,92.732267
red,PNY,Puducherry Airport,Puducherry,11.968967,79.812846
red,RJA,Rajahmundry Airport,Rajahmundry,17.109639,81.820807
red,RUP,Rupsi Airport,Rupsi,26.15,89.916667
